[2019-08-20T00:25:30.030Z] [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] [main] [34m[0;39m[202] [INFO ] Tomcat started on port(s): 8080 (http) with context path ''
[2019-08-20T00:25:30.030Z] [org.springframework.boot.StartupInfoLogger] [main] [34m[0;39m[59] [INFO ] Started PaymentsApplication in 8.238 seconds (JVM running for 9.985)
[2019-08-20T00:25:30.030Z] [ar.tesis.payments.PaymentsApplication] [main] [34m[0;39m[13] [INFO ] testing logging with lombok
[2019-08-20T00:25:30.030Z] [ar.tesis.payments.PaymentsApplication] [main] [1;31m[0;39m[14] [ERROR] testing error with lombok
[2019-08-20T00:25:47.047Z] [org.springframework.boot.StartupInfoLogger] [main] [34m[0;39m[50] [INFO ] Starting PaymentsApplication on n1033010 with PID 2120 (C:\Desarrollo\workspace_intellij\payments\target\classes started by p044125 in C:\Desarrollo\workspace_intellij\payments)
[2019-08-20T00:25:47.047Z] [org.springframework.boot.SpringApplication] [main] [34m[0;39m[647] [INFO ] No active profile set, falling back to default profiles: default
[2019-08-20T00:25:49.049Z] [org.springframework.data.repository.config.RepositoryConfigurationDelegate] [main] [34m[0;39m[126] [INFO ] Bootstrapping Spring Data repositories in DEFAULT mode.
[2019-08-20T00:25:49.049Z] [org.springframework.data.repository.config.RepositoryConfigurationDelegate] [main] [34m[0;39m[182] [INFO ] Finished Spring Data repository scanning in 156ms. Found 2 repository interfaces.
[2019-08-20T00:25:50.050Z] [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] [main] [34m[0;39m[330] [INFO ] Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$df54bbb1] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2019-08-20T00:25:50.050Z] [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] [main] [34m[0;39m[90] [INFO ] Tomcat initialized with port(s): 8080 (http)
